player,player_id,team,season,lg,replaced,full_team_name
David Lee,leeda02,West,2013,NBA,FALSE,San Antonio Spurs
Tony Parker,parketo01,West,2013,NBA,FALSE,Charlotte Hornets
Chris Paul,paulch01,West,2013,NBA,FALSE,Los Angeles Clippers
Zach Randolph,randoza01,West,2013,NBA,FALSE,Sacramento Kings
Russell Westbrook,westbru01,West,2013,NBA,FALSE,Sacramento Kings
Carmelo Anthony,anthoca01,East,2012,NBA,FALSE,Los Angeles Lakers
Chris Bosh,boshch01,East,2012,NBA,FALSE,Miami Heat
Luol Deng,denglu01,East,2012,NBA,FALSE,Minnesota Timberwolves
Roy Hibbert,hibbero01,East,2012,NBA,FALSE,
Dwight Howard,howardw01,East,2012,NBA,FALSE,Los Angeles Lakers
Andre Iguodala,iguodan01,East,2012,NBA,FALSE,Golden State Warriors
LeBron James,jamesle01,East,2012,NBA,FALSE,Los Angeles Lakers
Joe Johnson,johnsjo02,East,2012,NBA,TRUE,Boston Celtics
Paul Pierce,piercpa01,East,2012,NBA,FALSE,Los Angeles Clippers
Rajon Rondo,rondora01,East,2012,NBA,TRUE,
Derrick Rose,rosede01,East,2012,NBA,FALSE,Memphis Grizzlies
Dwyane Wade,wadedw01,East,2012,NBA,FALSE,Miami Heat
Deron Williams,willide01,East,2012,NBA,FALSE,
LaMarcus Aldridge,aldrila01,West,2012,NBA,FALSE,Brooklyn Nets
Kobe Bryant,bryanko01,West,2012,NBA,FALSE,Los Angeles Lakers
Andrew Bynum,bynuman01,West,2012,NBA,FALSE,
Kevin Durant,duranke01,West,2012,NBA,FALSE,Houston Rockets
Marc Gasol,gasolma01,West,2012,NBA,FALSE,Los Angeles Lakers
Blake Griffin,griffbl01,West,2012,NBA,FALSE,Boston Celtics
Kevin Love,loveke01,West,2012,NBA,FALSE,Utah Jazz
Steve Nash,nashst01,West,2012,NBA,FALSE,Los Angeles Lakers
Dirk Nowitzki,nowitdi01,West,2012,NBA,FALSE,Dallas Mavericks
Tony Parker,parketo01,West,2012,NBA,FALSE,Charlotte Hornets
Chris Paul,paulch01,West,2012,NBA,FALSE,Los Angeles Clippers
Russell Westbrook,westbru01,West,2012,NBA,FALSE,Sacramento Kings
Ray Allen,allenra02,East,2011,NBA,FALSE,Miami Heat
Chris Bosh,boshch01,East,2011,NBA,FALSE,Miami Heat
Kevin Garnett,garneke01,East,2011,NBA,FALSE,Minnesota Timberwolves
Al Horford,horfoal01,East,2011,NBA,FALSE,Golden State Warriors
Dwight Howard,howardw01,East,2011,NBA,FALSE,Los Angeles Lakers
LeBron James,jamesle01,East,2011,NBA,FALSE,Los Angeles Lakers
Joe Johnson,johnsjo02,East,2011,NBA,FALSE,Boston Celtics
Paul Pierce,piercpa01,East,2011,NBA,FALSE,Los Angeles Clippers
Rajon Rondo,rondora01,East,2011,NBA,FALSE,
Derrick Rose,rosede01,East,2011,NBA,FALSE,Memphis Grizzlies
